"","Id","Cat","Type","Value"
"1",1,"2019","C",147
"2",2,"2019","Clojure",1
"3",3,"2019","D3",14
"4",4,"2019","F.",2
"5",5,"2019","Fortran",2
"6",6,"2019","Golang",3
"7",7,"2019","Hadoop",309
"8",8,"2019","Haskell",6
"9",9,"2019","Java",168
"10",10,"2019","Javascript",13
"11",11,"2019","Julia",23
"12",12,"2019","knime",7
"13",13,"2019","Lisp",0
"14",14,"2019","Matlab",89
"15",15,"2019","Minitab",1
"16",16,"2019","Python",1128
"17",17,"2019","R",1017
"18",18,"2019","Ruby",9
"19",19,"2019","SAS",265
"20",20,"2019","SQL",821
"21",21,"2019","Scala",281
"22",22,"2019","Spark",130
"23",23,"2019","Spss",38
"24",24,"2019","Stata",13
"25",25,"2019","Tableau",300
"26",26,"2020","Clojure",0
"27",27,"2020","D3",7
"28",28,"2020","F.",2
"29",29,"2020","Fortran",8
"30",30,"2020","Golang",2
"31",31,"2020","Hadoop",149
"32",32,"2020","Haskell",0
"33",33,"2020","Javascript",25
"34",34,"2020","Julia",12
"35",35,"2020","knime",2
"36",36,"2020","Lisp",0
"37",37,"2020","Matlab",52
"38",38,"2020","Minitab",0
"39",39,"2020","Python",724
"40",40,"2020","R",575
"41",41,"2020","Ruby",1
"42",42,"2020","SAS",138
"43",43,"2020","SQL",473
"44",44,"2020","Scala",141
"45",45,"2020","Spark",184
"46",46,"2020","Spss",13
"47",47,"2020","Stata",9
"48",48,"2020","Tableau",141
"49",49,"2020","C",124
"50",50,"2020","Java",94
"51",51,"2021","C",89
"52",52,"2021","Clojure",0
"53",53,"2021","D3",4
"54",54,"2021","F.",0
"55",55,"2021","Fortran",2
"56",56,"2021","Golang",16
"57",57,"2021","Hadoop",389
"58",58,"2021","Haskell",5
"59",59,"2021","Java",421
"60",60,"2021","Javascript",110
"61",61,"2021","Julia",30
"62",62,"2021","knime",2
"63",63,"2021","Lisp",0
"64",64,"2021","Matlab",919
"65",65,"2021","Minitab",1
"66",66,"2021","Python",1554
"67",67,"2021","R",844
"68",68,"2021","Ruby",22
"69",69,"2021","SAS",1268
"70",70,"2021","SQL",1528
"71",71,"2021","Scala",248
"72",72,"2021","Spark",361
"73",73,"2021","Spss",28
"74",74,"2021","Stata",14
"75",75,"2021","Tableau",1291
